Variable	MR1	MR2	MR4	MR5	MR3	Complexity	Uniqueness
practices_social_justice	0.6442427995618424	-0.04763175416848332	0.05576077406308657	-0.03273368955149665	-0.05999503334371564	1.0488330901907819	0.5654101754352775
practices_culturally_responsive	0.607530641956687	-0.16212421646405528	0.027065230204313704	0.12194463983767721	0.05638362962708405	1.2506387829907475	0.5623991438757456
practices_hiring_equity	0.6063162358301974	-0.11165697076093846	0.04940156711595172	0.023550041623222533	0.0595861853089706	1.104688106308625	0.6001342703731447
practices_anti_racist	0.5987555116436594	-0.037294428958602195	0.16894278249641934	-0.1279265848498038	-0.06819303092842964	1.2932891043530155	0.5723759303382729
practices_restorative	0.5889629090293639	0.043847633578645115	0.04114126061859087	0.019122336370390656	-0.041132185435044905	1.0328928659494252	0.6244906437276839
practices_trauma_informed	0.5651017035982653	0.024110699344014826	-0.24122028100856785	0.05482231839337576	0.014579579418274764	1.3799521836521917	0.6896203831383084
practices_mental_health	0.4553437809361605	0.1261986628342231	-0.07093181897994752	-0.21310495546405345	0.03595361888096381	1.6682668046139681	0.7844798104708763
practices_community_supports	0.4320351909748898	0.037612044668569204	-0.07861284626162195	0.06972289278415154	0.2082387840496027	1.5983412574826428	0.7617878568387569
practices_physical_well_being	0.4304290036835003	0.12842206603231948	-0.04163385164320786	0.13875812471024002	0.03517955775678263	1.4345749480940027	0.752868602775353
practices_design_marginalized	0.4231664811635782	0.030995550858061032	-0.08697530305396338	0.18554327321796255	-0.04420051077270026	1.5058595381463264	0.7710088712822667
practices_sel_integrated	0.38054480555337167	-0.1297620894424756	0.3479355883408929	-0.033111646343423354	0.044035271244862714	2.2734638132258382	0.6683961054628469
practices_reallocation_resources	0.3602498223480197	0.1188916201207243	0.15162490238952767	-0.10447960209686898	0.24919753027381247	2.6714989240846383	0.7578169067926309
practices_assessments_sel	0.35285337629574914	0.02191480158776863	0.05332906099365598	0.25388901785860446	0.04103229737428623	1.9130509024794056	0.7475170538866771
practices_teachers_leaders	0.32381724934641665	0.05096089509828587	0.06084833821285313	0.1825142993935276	-0.15589712817891418	2.240042220181492	0.7863672075853881
practices_sel_curriculum	0.3153243912327591	-0.06156926349173096	0.16683148837070627	-0.0518289818000537	0.04493405804329753	1.7246283794787303	0.8505207660040507
practices_udl	0.2541007690118371	-0.06118018649165644	0.2258432895183071	0.12194311667562	0.13531914580653628	3.167911008153727	0.8006062096303085
