Variable	MR1	MR2	MR4	MR5	MR3	Complexity	Uniqueness
practices_social_justice	0.6442427995618424					1.0488330901907819	0.5654101754352775
practices_culturally_responsive	0.607530641956687					1.2506387829907475	0.5623991438757456
practices_hiring_equity	0.6063162358301974					1.104688106308625	0.6001342703731447
practices_anti_racist	0.5987555116436594					1.2932891043530155	0.5723759303382729
practices_restorative	0.5889629090293639					1.0328928659494252	0.6244906437276839
practices_trauma_informed	0.5651017035982653					1.3799521836521917	0.6896203831383084
practices_mental_health	0.4553437809361605					1.6682668046139681	0.7844798104708763
practices_community_supports	0.4320351909748898					1.5983412574826428	0.7617878568387569
practices_physical_well_being	0.4304290036835003					1.4345749480940027	0.752868602775353
practices_design_marginalized	0.4231664811635782					1.5058595381463264	0.7710088712822667
practices_sel_integrated	0.38054480555337167					2.2734638132258382	0.6683961054628469
practices_reallocation_resources	0.3602498223480197					2.6714989240846383	0.7578169067926309
practices_assessments_sel	0.35285337629574914					1.9130509024794056	0.7475170538866771
practices_teachers_leaders	0.32381724934641665					2.240042220181492	0.7863672075853881
practices_sel_curriculum	0.3153243912327591					1.7246283794787303	0.8505207660040507
practices_udl	0.2541007690118371					3.167911008153727	0.8006062096303085
practices_peer_to_peer	0.24724573332962568					2.9270827905919194	0.8009733053944099
practices_disaggregated_participation_data	0.2439402192795926					3.2372128044790687	0.8690443076467682
practices_families_leaders	0.21609081923316134					2.5965447437502625	0.9185448952193245
practices_dual_language	0.18235507509745696					3.3249377134236293	0.9265080087787989
practices_career_prep		0.7501461287281435				1.0088753716496268	0.419576922546656
practices_dual_credit		0.7365967290381761				1.148797530231732	0.44986309555582493
practices_industry_credentials		0.5988446819697095				1.1071695953030043	0.6432193965969579
practices_assessments_career		0.5523814904555889				1.1130474452346362	0.6566683666493013
practices_a_la_carte		0.4726540639088643				1.879576300829012	0.685220738737411
practices_community_partnerships		0.43017186331022694				1.8066115402138752	0.6725106275456805
practices_extended_learning		0.4191664403478931				1.3809700305404193	0.7492173588031916
practices_student_projects		0.39925096920274655				2.4431790206631248	0.6173322236735269
practices_hybrid		0.39676054775459985				2.19030351727784	0.7176966702364496
practices_early_college		0.3869590681740212				1.073877858546107	0.8380797598476
practices_virtual_pathway		0.3490785212597015				2.1496936504576794	0.8123981933866182
practices_pbl		0.33659830290299114				3.2088399728237342	0.6416699749704101
practices_elimination_tracking		0.2904808344758242				2.944981284679048	0.7556123588669089
practices_service_learning		0.21035927901594323				3.0851980090501057	0.8358182732700609
practices_performance_assessment			0.5288617391678204			1.816932696486017	0.5468165499747049
practices_advisories			0.5273514411748456			1.408336226570233	0.5984767714408576
practices_portfolios_exhibitions			0.49834496592678806			2.134318699213074	0.48495568285822
practices_grading_mastery			0.49570217293165797			1.4693523621576148	0.7521270972174201
practices_student_conferences			0.4659309803753848			1.185743576396302	0.7594779342458344
practices_competency_framework			0.4323165580222604			2.5057644559931367	0.6875371564521717
practices_assessments_deeper			0.4200418301533797			1.4732955379985142	0.7699005720860219
practices_expanded_success			0.3899693388803243			2.564665552449441	0.625935004770463
practices_opportunities_mastery			0.3265375360826387			2.08427967771262	0.8116330545210897
practices_design_thinking			0.30373149748328715			2.479094831807663	0.8396943158945465
practices_competency_education			0.30058166313473694			1.7631611038685793	0.893582754918949
practices_real_world			0.2906709307011248			3.2333688949364734	0.6797973628459797
practices_makerspace			0.26599609664660784			3.5006733291117156	0.81661043378567
practices_student_goals			0.24950132774178949			3.593217340787013	0.8269327967893232
practices_student_pace				0.576780886431749		1.1593341673627477	0.6482453713179679
practices_learning_paths				0.5728739298017181		1.2340429364476266	0.6174054865805634
practices_learner_profiles				0.5126212030696536		1.5879041539215637	0.6197953398702485
practices_flexible_staffing				0.5007666083364403		1.7732880766379933	0.6907002154988708
practices_flexible_facilities				0.46426947489233833		1.1439297177371412	0.7624417335735155
practices_multi_age				0.42253747367303734		2.1451656145913724	0.7233166116773102
practices_mentoring				0.3897764857257064		1.5874836782479689	0.7650227905203822
practices_students_leaders				0.38588180529475213		2.2388840790908655	0.712414422021844
practices_advancement_mastery				0.35004755311960645		1.5828568108420855	0.8267312428952038
practices_accommodations				0.3196023754365363		1.6204868855316865	0.8459932954992395
practices_adaptive_content				0.3153807359710783		1.5982995611430213	0.8652568009868238
practices_interdisciplinary				0.287816081083513		4.048366064839003	0.6631978777557554
practices_expanded_open_hours				0.2808518936047587		3.027466925757577	0.8424413531520819
practices_blended_learning					0.5659712016917406	1.3732750821468118	0.5990698539102687
practices_flipped_classroom					0.46967528585334006	1.350684934311334	0.7593133328036169
practices_interoperability					0.4438357594818257	1.5378422967396428	0.7450268755662659
practices_flex					0.4243380747869606	2.1769822505397958	0.71042855572921
practices_student_data					0.4060113591168462	1.9732753576296795	0.7296654318981558
practices_enriched_virtual					0.3984395240211341	2.390030902708643	0.7068407203343879
practices_station_rotation					0.39309399249966837	1.7203089207330442	0.7953373544882155
practices_individual_rotation					0.35870658238727865	2.2334531837526743	0.8015645079384275
practices_place_based					-0.30951121154175326	3.9715768080458473	0.6535142112925353
practices_tutoring					0.245800031952383	2.3518421443395066	0.8790585265032151
practices_mtss_academics					0.23664624153207792	3.0478550081705444	0.8801284487042141
