school_id	Blended learning	Deeper learning for mastery	Educational justice and holistic student supports	Flexible and individualized learning pathways	Postsecondary pathways and the world outside school
7	0.24958220723078822	4.830537879507079	4.55784875255677	5.0305452947339715	5.294208751319225
8	-0.40802753621476406	7.1193604666790975	7.10255692299044	7.564184605808421	1.6045404350711274
11	3.861321388177521	8.287100160600842	9.684748601150293	8.325837335415821	4.729938427420959
16	1.5591494655569123	7.157924703877347	10.674701836792863	7.150934241174875	5.861582324804536
21	3.3339280292750826	4.7210022479995315	4.135892059347084	4.832355183174034	7.033582323830848
24	2.60596535912738	6.207429996285436	8.70972537585474	6.536705676967336	6.812878065618844
26	1.1197747834150438	5.106877444336399	8.97715025998132	4.576500285937222	6.965081614039384
27	0.37803408574619335	7.740349868954478	7.051623901994842	2.858011217809615	4.355475620077495
41	2.1046733243363387	3.5500055690803007	5.509687513804056	3.282258904717468	5.439965331772279
42	1.9437662863481795	5.3542909073869245	10.277727081220087	4.121480367348643	6.454097854210839
44	0.39463475177855317	4.994327863617322	7.552310624565731	4.256624124493886	4.331815465265447
45	-1.4271767766807009	6.574428877989389	7.988640882701954	5.294171534293612	2.2935156404850523
47	2.9519846314961433	6.908213070238545	4.712756082586458	6.3332837457002356	2.452366939120087
52	3.9011576728799318	6.721998976188271	4.874226497383456	7.2238081276464605	6.997352680534904
67	1.4652298324944621	7.182713688675813	10.920231008714323	5.953631830189725	5.536978984830139
69	3.608953759304121	7.636580323450032	8.21908948529769	6.303921178732934	3.1996450375331325
70	0.9799796079120816	6.0073262610846605	9.53714039826177	3.247464350890045	1.9091789055534465
71	1.4885308999656297	3.9232699747887656	7.111467267491909	4.1930710693598074	4.716685398985348
79	1.1445393040854095	6.987209645837441	7.994001358659193	5.917873538667702	4.281156481329038
81	3.3121183997516224	3.6105040231812757	9.228327500476325	5.16644871521395	1.6003983922081388
83	3.621815798719996	4.597471066840731	4.149756864475907	5.559846185535195	0.49017378976429493
84	-0.4507621365873915	6.689671086443516	6.56908346488473	7.1676176197383565	4.098833078477354
85	2.9413319436898466	6.414389241540979	9.48853858206001	4.0285312688418635	1.8547208875292722
91	2.966180499305864	5.652566243590208	9.929810898247593	6.158735564694741	2.4812439037496574
94	0.30673140547996713	6.746113591929446	8.829340069194151	6.634563503678489	5.666460084851269
97	0.6321880425552913	3.447536056347088	2.4906467890818855	3.1740695449070127	2.472187466098881
98	4.212791134678	5.674106873420987	9.14497343969133	7.119419007771557	2.2925217472526516
100	3.945858487946641	7.4991895926923595	10.62602412461472	8.064324927937992	6.9724890493781135
101	2.565304287984156	6.817091940846637	8.933932595753571	5.018471023291635	1.3325070104833736
105	4.017191549177296	4.172804263573787	2.174261971380363	3.5780045406526795	5.679601972648402
119	-0.22997404616533165	4.282701457262211	2.920418559928493	2.643934687615156	5.8052487050337245
120	1.5274310893237497	3.326860177504793	7.6579237897611945	4.59063244959074	1.1125415700785108
122	3.213533921147623	4.307717408947173	7.295218245595434	8.095844005610743	6.096471240577856
132	3.7180858399009096	6.220482106109434	7.6994394783695395	5.209822003999634	4.693063782904742
138	-0.1829267376699447	4.8066505817492615	6.049779738193754	1.5175560555312742	2.2669718087191693
139	1.882353937993376	5.741596399481654	6.50844389726199	6.015052061316888	5.150798373572029
140	3.8686148998744665	6.4390780785982935	10.273901815177291	7.124718583195609	8.458403429718853
141	2.0274261629042147	6.393366118427486	6.671753791810275	8.508711305305178	5.227198435568336
144	3.3150958989995885	3.8422845439518944	3.5242455101742496	4.096466075563103	-0.3858490227035344
146	1.8047214755295882	4.27601645020553	5.67337175321145	4.8419098581359945	1.449449245163335
150	2.12664940138572	8.404419445223738	10.413312313773858	8.544667061362212	4.693745188056069
157	2.765742478029107	1.1923066617986846	1.944578380241896	1.5132824126542628	5.081492666001315
165	0.264699976955716	4.701673648870562	7.328714085087403	7.03080048985743	5.918714723108114
172	3.5476360501583963	5.772783271124912	7.5242178266806254	4.4282096599526	5.798494124167004
180	-0.18009136716191546	8.081836595525798	7.164330597457233	6.030520457320916	2.0527615454754233
189	2.8412338395776144	7.417365325080064	10.412046086226146	4.4268834632031115	3.8407560495612882
197	0.5688156134807235	5.5344049166387	8.980428782026145	3.073619339158778	3.1142767580527506
204	-0.07856169864055793	5.762690024695145	10.11730310922254	6.667698349013001	6.33529197131939
209	2.3821611548499098	6.193786130204425	9.48250418707401	2.1239971837653147	1.9930301983920418
225	1.1405185834053713	2.888455106936947	8.205021582247548	3.7552304745060168	4.804391364272806
228	-0.5223999801472436	7.351005370663798	6.6117188798148945	3.2949602887198672	2.5667422124445594
234	0.3401478494021751	3.3661136584808626	0.17315712175006742	3.654935432701465	4.650611435782273
235	1.8686373333436546	7.331210501720422	8.70535962355318	3.1215520391767217	5.4373239383766565
236	0.30453918768036825	6.336645328014756	8.380733477223169	3.624867218787119	4.912439373441315
237	0.46579151589738693	5.8994226333177435	8.858369687153171	5.684331455991595	6.060394881596526
241	2.2533439967903828	4.219230616623841	6.053886573597018	6.16154033671553	6.3429649913232
246	3.498275935137169	1.249512935404546	2.271305643913605	2.540485547455103	-0.18629088844283165
247	1.0378961995023201	5.671066920101453	4.068533585481863	7.220851500751571	6.853624806356542
251	1.8910147033938471	6.817433882144267	9.065313373112462	8.156234120183765	6.258771654714014
266	0.5991914186723628	6.723991332090583	5.768751716728757	5.474539125382425	3.5962912749535785
275	0.7991770480442637	4.137439177639181	4.944204970344941	4.097183327936745	2.9140314635557227
276	0.4749914627891029	6.961149496288527	6.346815468914416	4.865104258608395	4.426824889423486
