school_id,school_name,school_grade_type,grades_pre_k,grades_kindergarten,grades_1st,grades_2nd,grades_3rd,grades_4th,grades_5th,grades_6th,grades_7th,grades_8th,grades_9th,grades_10th,grades_11th,grades_12th,grades_past_12th,grades_other,n_grade_codes,match
528,KIPP Philadelphia Preparatory Academy,elementary,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,9,no
569,The Sycamore School,elementary,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,8,no
540,The Delta School,prek,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,14,no
572,Black Mothers Forum Microschool,elementary,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,9,no
625,Lumen High School,prek,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,5,no
368,Verdi Ecoschool,prek,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,14,no
604,The 1881 Institute,high,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,5,no
588,Texas Tech University K-12,elementary,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,13,no
506,Red Bridge,elementary,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,9,no
512,Long-View Micro School,elementary,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,7,no
466,The Forest Schools,prek,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,15,no
382,Next Step High,middle,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,6,no
475,Link Learning,high,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,5,no
587,Asu Preparatory Academy Digital,elementary,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,13,no
150,One Stone,high,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,5,no
384,Gull Lake Virtual Partnership,elementary,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,13,no
567,Springhouse Community School,middle,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,7,no
383,Oxford Virtual Academy,elementary,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,13,no
45,Community Lab School,middle,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,7,no
571,Utah Schools For The Deaf,prek,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,no
246,Blessed Sacrament Catholic School,prek,1,1,1,1,1,1,1,1,1,1,0,0,0,0,,0,10,no
